RuleId,SourceSheet,SourceRow,DeploymentMode,EnableInPolicy,Fidelity,RuleName,Domain,ObjectType,AdapterKindKey,ResourceKindKey,MetricName,MetricKey,ThresholdModel,AlertType,AlertSubType,ImpactType,ImpactDetail,AlertWaitCycles,AlertCancelCycles,StateSeverity,Branch,ConditionId,ConditionName,ConditionAdapterKindKey,ConditionResourceKindKey,Relation,Aggregation,ConditionType,ConditionKey,Operator,ThresholdType,Value,ValueMultiplier,ValueType,Instanced,ConditionWaitCycles,ConditionCancelCycles,SourceDecision,SourceAlertMonitor,SourceSignal,SourceGreen,SourceAmber,SourceRed,Correlation,ImplementationNotes,Source,Confidence
Y04-VSPHERE-COMMON-R23,vSphere (Common),23,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Workload (%),mem|workload,Workload percentage,16,19,BADGE,health,1,1,CRITICAL,1,C2,Contention critical gate,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_contentionPct,GT_EQ,STATIC,5,,NUMERIC,false,3,2,?,Review before enabling,Memory workload %,< 80%,80% to ≤ 100%,> 100%,"Memory contention, ballooning and swap activity.",Memory workload is gated by memory contention as requested by the workbook correlation guidance.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium-Low
Y05-VSPHERE-COMMON-R24,vSphere (Common),24,ALERT,true,EXACT,vSphere World - net|Packets Dropped (%),vSphere,vSphere World,VMWARE,vSphere World,net|Packets Dropped (%),net|droppedPct,Static percentage,16,19,BADGE,health,1,1,WARNING,1,W1,Warning threshold,VMWARE,vSphere World,SELF,ALL,STATIC,net|droppedPct,GT_EQ,STATIC,1,,NUMERIC,false,2,2,Alert,Alert,Dropped packets as % of total packets,< 1%,1% to ≤ 4%,> 4%,"NIC errors, switch port counters, uplink saturation and teaming state.",Direct dropped-packet percentage thresholds from the workbook.,https://knowledge.broadcom.com/external/article/433209/vm-network-has-dropped-transmit-packets.html,High
Y05-VSPHERE-COMMON-R24,vSphere (Common),24,ALERT,true,EXACT,vSphere World - net|Packets Dropped (%),vSphere,vSphere World,VMWARE,vSphere World,net|Packets Dropped (%),net|droppedPct,Static percentage,16,19,BADGE,health,1,1,CRITICAL,1,C1,Critical threshold,VMWARE,vSphere World,SELF,ALL,STATIC,net|droppedPct,GT,STATIC,4,,NUMERIC,false,2,2,Alert,Alert,Dropped packets as % of total packets,< 1%,1% to ≤ 4%,> 4%,"NIC errors, switch port counters, uplink saturation and teaming state.",Direct dropped-packet percentage thresholds from the workbook.,https://knowledge.broadcom.com/external/article/433209/vm-network-has-dropped-transmit-packets.html,High
Y06-VSPHERE-COMMON-R27,vSphere (Common),27,ALERT,true,NATIVE_DYNAMIC,vSphere World - disk|Total IOPS,vSphere,vSphere World,VMWARE,vSphere World,disk|Total IOPS,disk|commandsAveraged_average,Dynamic baseline,16,19,BADGE,health,1,1,WARNING,1,W1,Primary metric above dynamic threshold,VMWARE,vSphere World,SELF,ALL,DYNAMIC,disk|commandsAveraged_average,DT_ABOVE,,,,NUMERIC,false,3,2,Alert,Baseline / context metric,IOPS or virtual-disk activity versus 30-day same-time baseline,≤ 95th percentile or latency Green,> 95th percentile and latency Amber,> 99th percentile and latency Red / queue saturated,"Datastore latency, queue depth, OIO, storage policy and workload schedule.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y06-VSPHERE-COMMON-R27,vSphere (Common),27,ALERT,true,NATIVE_DYNAMIC,vSphere World - disk|Total IOPS,vSphere,vSphere World,VMWARE,vSphere World,disk|Total IOPS,disk|commandsAveraged_average,Dynamic baseline,16,19,BADGE,health,1,1,WARNING,1,W2,Latency warning gate,VMWARE,Datastore,DESCENDANT,ALL,STATIC,datastore|totalLatency_average,GT_EQ,STATIC,15,,NUMERIC,false,3,2,Alert,Baseline / context metric,IOPS or virtual-disk activity versus 30-day same-time baseline,≤ 95th percentile or latency Green,> 95th percentile and latency Amber,> 99th percentile and latency Red / queue saturated,"Datastore latency, queue depth, OIO, storage policy and workload schedule.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y06-VSPHERE-COMMON-R27,vSphere (Common),27,ALERT,true,NATIVE_DYNAMIC,vSphere World - disk|Total IOPS,vSphere,vSphere World,VMWARE,vSphere World,disk|Total IOPS,disk|commandsAveraged_average,Dynamic baseline,16,19,BADGE,health,1,1,CRITICAL,1,C1,Primary metric above dynamic threshold,VMWARE,vSphere World,SELF,ALL,DYNAMIC,disk|commandsAveraged_average,DT_ABOVE,,,,NUMERIC,false,3,2,Alert,Baseline / context metric,IOPS or virtual-disk activity versus 30-day same-time baseline,≤ 95th percentile or latency Green,> 95th percentile and latency Amber,> 99th percentile and latency Red / queue saturated,"Datastore latency, queue depth, OIO, storage policy and workload schedule.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y06-VSPHERE-COMMON-R27,vSphere (Common),27,ALERT,true,NATIVE_DYNAMIC,vSphere World - disk|Total IOPS,vSphere,vSphere World,VMWARE,vSphere World,disk|Total IOPS,disk|commandsAveraged_average,Dynamic baseline,16,19,BADGE,health,1,1,CRITICAL,1,C2,Latency critical gate,VMWARE,Datastore,DESCENDANT,ALL,STATIC,datastore|totalLatency_average,GT_EQ,STATIC,30,,NUMERIC,false,3,2,Alert,Baseline / context metric,IOPS or virtual-disk activity versus 30-day same-time baseline,≤ 95th percentile or latency Green,> 95th percentile and latency Amber,> 99th percentile and latency Red / queue saturated,"Datastore latency, queue depth, OIO, storage policy and workload schedule.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y07-VSPHERE-COMMON-R29,vSphere (Common),29,ALERT,true,CORRELATED_NATIVE,vSphere World - disk|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,disk|Workload (%),disk|workload,Workload percentage,16,19,BADGE,health,1,1,WARNING,1,W1,Storage workload warning,VMWARE,vSphere World,SELF,ALL,STATIC,disk|workload,GT_EQ,STATIC,80,,NUMERIC,false,3,2,Alert,Alert with latency correlation,Storage workload %,< 80%,80% to ≤ 100%,> 100%,Require datastore latency Amber/Red or queue saturation.,Storage workload is gated by disk latency as required by the workbook.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium
Y07-VSPHERE-COMMON-R29,vSphere (Common),29,ALERT,true,CORRELATED_NATIVE,vSphere World - disk|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,disk|Workload (%),disk|workload,Workload percentage,16,19,BADGE,health,1,1,WARNING,1,W2,Latency warning gate,VMWARE,Datastore,DESCENDANT,ALL,STATIC,datastore|totalLatency_average,GT_EQ,STATIC,15,,NUMERIC,false,3,2,Alert,Alert with latency correlation,Storage workload %,< 80%,80% to ≤ 100%,> 100%,Require datastore latency Amber/Red or queue saturation.,Storage workload is gated by disk latency as required by the workbook.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium
Y07-VSPHERE-COMMON-R29,vSphere (Common),29,ALERT,true,CORRELATED_NATIVE,vSphere World - disk|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,disk|Workload (%),disk|workload,Workload percentage,16,19,BADGE,health,1,1,CRITICAL,1,C1,Storage workload critical,VMWARE,vSphere World,SELF,ALL,STATIC,disk|workload,GT,STATIC,100,,NUMERIC,false,3,2,Alert,Alert with latency correlation,Storage workload %,< 80%,80% to ≤ 100%,> 100%,Require datastore latency Amber/Red or queue saturation.,Storage workload is gated by disk latency as required by the workbook.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium
Y07-VSPHERE-COMMON-R29,vSphere (Common),29,ALERT,true,CORRELATED_NATIVE,vSphere World - disk|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,disk|Workload (%),disk|workload,Workload percentage,16,19,BADGE,health,1,1,CRITICAL,1,C2,Latency critical gate,VMWARE,Datastore,DESCENDANT,ALL,STATIC,datastore|totalLatency_average,GT_EQ,STATIC,30,,NUMERIC,false,3,2,Alert,Alert with latency correlation,Storage workload %,< 80%,80% to ≤ 100%,> 100%,Require datastore latency Amber/Red or queue saturation.,Storage workload is gated by disk latency as required by the workbook.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium
Y08-VCENTER-SERVER-R2,vCenter Server,2,ALERT,true,CORRELATED_NATIVE,vCenter Server (system) - Capacity Usage (%),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Capacity Usage (%),cpu|capacity_usagepct_average,Static percentage,20,19,BADGE,health,1,1,WARNING,1,W1,CPU usage warning,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,cpu|capacity_usagepct_average,GT_EQ,STATIC,75,,NUMERIC,false,3,2,Alert,Alert with correlation,CPU capacity/usage %,< 75%,75% to < 90%,≥ 90%,"For VM CPU Usage, require CPU demand plus Ready/Contention ≥5% before paging.",CPU usage is gated by CPU contention on the vCenter adapter instance.,https://knowledge.broadcom.com/external/article/421543/esxi-host-cpu-usage-alarms-and-vm-perfor.html,High for host/vCenter; Medium for VM
Y08-VCENTER-SERVER-R2,vCenter Server,2,ALERT,true,CORRELATED_NATIVE,vCenter Server (system) - Capacity Usage (%),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Capacity Usage (%),cpu|capacity_usagepct_average,Static percentage,20,19,BADGE,health,1,1,WARNING,1,W2,CPU contention warning gate,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,cpu|capacity_contentionPct,GT_EQ,STATIC,5,,NUMERIC,false,3,2,Alert,Alert with correlation,CPU capacity/usage %,< 75%,75% to < 90%,≥ 90%,"For VM CPU Usage, require CPU demand plus Ready/Contention ≥5% before paging.",CPU usage is gated by CPU contention on the vCenter adapter instance.,https://knowledge.broadcom.com/external/article/421543/esxi-host-cpu-usage-alarms-and-vm-perfor.html,High for host/vCenter; Medium for VM
Y08-VCENTER-SERVER-R2,vCenter Server,2,ALERT,true,CORRELATED_NATIVE,vCenter Server (system) - Capacity Usage (%),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Capacity Usage (%),cpu|capacity_usagepct_average,Static percentage,20,19,BADGE,health,1,1,CRITICAL,1,C1,CPU usage critical,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,cpu|capacity_usagepct_average,GT_EQ,STATIC,90,,NUMERIC,false,3,2,Alert,Alert with correlation,CPU capacity/usage %,< 75%,75% to < 90%,≥ 90%,"For VM CPU Usage, require CPU demand plus Ready/Contention ≥5% before paging.",CPU usage is gated by CPU contention on the vCenter adapter instance.,https://knowledge.broadcom.com/external/article/421543/esxi-host-cpu-usage-alarms-and-vm-perfor.html,High for host/vCenter; Medium for VM
Y08-VCENTER-SERVER-R2,vCenter Server,2,ALERT,true,CORRELATED_NATIVE,vCenter Server (system) - Capacity Usage (%),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Capacity Usage (%),cpu|capacity_usagepct_average,Static percentage,20,19,BADGE,health,1,1,CRITICAL,1,C2,CPU contention critical gate,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,cpu|capacity_contentionPct,GT_EQ,STATIC,10,,NUMERIC,false,3,2,Alert,Alert with correlation,CPU capacity/usage %,< 75%,75% to < 90%,≥ 90%,"For VM CPU Usage, require CPU demand plus Ready/Contention ≥5% before paging.",CPU usage is gated by CPU contention on the vCenter adapter instance.,https://knowledge.broadcom.com/external/article/421543/esxi-host-cpu-usage-alarms-and-vm-perfor.html,High for host/vCenter; Medium for VM
Y09-VCENTER-SERVER-R7,vCenter Server,7,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - IO Wait (ms),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,IO Wait (ms),cpu|iowait,Dynamic baseline,20,19,BADGE,health,1,1,WARNING,1,W1,Primary metric above dynamic threshold,VMWARE,VMwareAdapter Instance,SELF,ALL,DYNAMIC,cpu|iowait,DT_ABOVE,,,,NUMERIC,false,3,2,Alert,Baseline / correlated alert,I/O wait milliseconds compared with the object's 30-day same-time baseline,≤ 95th percentile and storage latency Green,> 95th percentile and storage latency Amber,> 99th percentile and storage latency Red,"Datastore/device latency, OIO/queueing and ESXi version.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/338438/increased-vmwait-for-idle-vms-after-upgr.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,Medium
Y09-VCENTER-SERVER-R7,vCenter Server,7,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - IO Wait (ms),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,IO Wait (ms),cpu|iowait,Dynamic baseline,20,19,BADGE,health,1,1,WARNING,1,W2,Latency warning gate,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,disk|totalLatency_average,GT_EQ,STATIC,15,,NUMERIC,false,3,2,Alert,Baseline / correlated alert,I/O wait milliseconds compared with the object's 30-day same-time baseline,≤ 95th percentile and storage latency Green,> 95th percentile and storage latency Amber,> 99th percentile and storage latency Red,"Datastore/device latency, OIO/queueing and ESXi version.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/338438/increased-vmwait-for-idle-vms-after-upgr.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,Medium
Y09-VCENTER-SERVER-R7,vCenter Server,7,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - IO Wait (ms),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,IO Wait (ms),cpu|iowait,Dynamic baseline,20,19,BADGE,health,1,1,CRITICAL,1,C1,Primary metric above dynamic threshold,VMWARE,VMwareAdapter Instance,SELF,ALL,DYNAMIC,cpu|iowait,DT_ABOVE,,,,NUMERIC,false,3,2,Alert,Baseline / correlated alert,I/O wait milliseconds compared with the object's 30-day same-time baseline,≤ 95th percentile and storage latency Green,> 95th percentile and storage latency Amber,> 99th percentile and storage latency Red,"Datastore/device latency, OIO/queueing and ESXi version.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/338438/increased-vmwait-for-idle-vms-after-upgr.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,Medium
Y09-VCENTER-SERVER-R7,vCenter Server,7,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - IO Wait (ms),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,IO Wait (ms),cpu|iowait,Dynamic baseline,20,19,BADGE,health,1,1,CRITICAL,1,C2,Latency critical gate,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,disk|totalLatency_average,GT_EQ,STATIC,30,,NUMERIC,false,3,2,Alert,Baseline / correlated alert,I/O wait milliseconds compared with the object's 30-day same-time baseline,≤ 95th percentile and storage latency Green,> 95th percentile and storage latency Amber,> 99th percentile and storage latency Red,"Datastore/device latency, OIO/queueing and ESXi version.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/338438/increased-vmwait-for-idle-vms-after-upgr.html ; https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,Medium
Y10-VCENTER-SERVER-R14,vCenter Server,14,MONITOR_ONLY,false,MONITOR_ONLY,vCenter Server (system) - Wait (ms),vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Wait (ms),cpu|wait,Not suitable as a standalone RAG metric,20,19,BADGE,health,1,1,,,,,,,,,,,,,,,,,,,Alert,Do not alert standalone,N/A,N/A,N/A,N/A,Use CPU Ready/Contention for CPU scheduling and I/O wait plus storage latency for I/O symptoms.,CPU Wait includes idle time; the workbook explicitly says not to alert on it independently.,https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y11-VCENTER-SERVER-R18,vCenter Server,18,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - Outstanding IO requests,vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Outstanding IO requests,datastore|demand_oio,Dynamic baseline plus queue depth,20,19,BADGE,health,1,1,WARNING,1,W1,Primary metric above dynamic threshold,VMWARE,VMwareAdapter Instance,SELF,ALL,DYNAMIC,datastore|demand_oio,DT_ABOVE,,,,NUMERIC,false,3,2,Alert,Baseline / queue-aware alert,Outstanding I/O compared with baseline and configured queue depth,≤ 95th percentile and queue load < 1,> 95th percentile or queue 70%–100% utilised,> 99th percentile or queue load > 1 with latency Red,"HBA/device queue depth, datastore latency, commands queued and storage path health.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y11-VCENTER-SERVER-R18,vCenter Server,18,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - Outstanding IO requests,vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Outstanding IO requests,datastore|demand_oio,Dynamic baseline plus queue depth,20,19,BADGE,health,1,1,WARNING,1,W2,Latency warning gate,VMWARE,VMwareAdapter Instance,SELF,ALL,STATIC,disk|totalLatency_average,GT_EQ,STATIC,15,,NUMERIC,false,3,2,Alert,Baseline / queue-aware alert,Outstanding I/O compared with baseline and configured queue depth,≤ 95th percentile and queue load < 1,> 95th percentile or queue 70%–100% utilised,> 99th percentile or queue load > 1 with latency Red,"HBA/device queue depth, datastore latency, commands queued and storage path health.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y11-VCENTER-SERVER-R18,vCenter Server,18,ALERT,true,NATIVE_DYNAMIC,vCenter Server (system) - Outstanding IO requests,vCenter,vCenter Server (system),VMWARE,VMwareAdapter Instance,Outstanding IO requests,datastore|demand_oio,Dynamic baseline plus queue depth,20,19,BADGE,health,1,1,CRITICAL,1,C1,Primary metric above dynamic threshold,VMWARE,VMwareAdapter Instance,SELF,ALL,DYNAMIC,datastore|demand_oio,DT_ABOVE,,,,NUMERIC,false,3,2,Alert,Baseline / queue-aware alert,Outstanding I/O compared with baseline and configured queue depth,≤ 95th percentile and queue load < 1,> 95th percentile or queue 70%–100% utilised,> 99th percentile or queue load > 1 with latency Red,"HBA/device queue depth, datastore latency, commands queued and storage path health.",The workbook percentile wording is implemented with Aria Operations' native DT_ABOVE condition. Latency gates distinguish Warning from Critical and suppress activity-only alerts.,https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
